127.0.0.1 - - [20/Feb/2025:10:12:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%8B%B4%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%8C%80%EC%A0%84_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%8C%80%EA%B5%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%AC%B4%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%AA%A9%ED%8F%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%B0%80%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%B6%80%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%B3%B4%EC%9D%80_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%8F%99%ED%95%B4_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%82%BC%EC%B2%99_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%B6%80%EC%95%88_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%84%B1%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%84%B1%EB%82%A8_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%84%9C%EC%9A%B8_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%B6%80%EC%97%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%84%B8%EC%A2%85_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%86%8D%EC%B4%88_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%88%98%EC%9B%90_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%88%9C%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%95%88%EB%8F%99_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%95%88%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%96%91%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%97%AC%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%96%91%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%97%AC%EC%88%98_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%96%91%ED%8F%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%96%91%EA%B5%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EB%8F%99_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EC%95%94_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%88%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/image/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%99%84%EB%8F%84_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9A%A9%EC%9D%B8_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9A%B8%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9A%B8%EC%A7%84_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%A5%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9B%90%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%98%EC%99%95_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%8C%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%98%EB%A0%B9_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%B4%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%B5%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9E%A5%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9E%84%EC%8B%A4_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A0%84%EB%9D%BC%EB%8F%84%20%EA%B4%91%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9D%B8%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A7%84%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A0%95%EC%84%A0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A7%84%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A0%9C%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A0%84%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B2%AD%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B0%BD%EC%9B%90_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B2%A0%EC%9B%90_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B0%BD%EB%85%95_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B2%AD%EC%86%A1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B2%AD%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B6%98%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%8C%8C%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%B6%A9%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%83%9C%EC%95%88_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%A8%ED%8F%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%8F%AC%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%A9%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%B4%EB%82%A8_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%8F%89%EC%B0%BD_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%99%8D%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%A0%95%EC%9D%8D_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%99%8D%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
